"","age","sex","date","responsetime1","responsetime2","still1","still2","method","sideCile1","sideCile2","picked_ball1","picked_ball2","condition","trial","correct_first","correct_second","correct_all","id","agecat"
"4",7,"female","2021-05-17_09h33.24.743",11.824,9.918,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png",NA,"right","left","left","right","complex labeling",1,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"5",7,"female","2021-05-17_09h33.24.743",9.652,8.665,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png",NA,"right","left","right","left","complex labeling",2,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"6",7,"female","2021-05-17_09h33.24.743",9.385,6.984,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png",NA,"left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"7",7,"female","2021-05-17_09h33.24.743",7.851,8.677,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png",NA,"right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"8",7,"female","2021-05-17_09h33.24.743",15.438,7.705,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png",NA,"left","right","right","left","complex labeling",5,0,0,0,"complex labeling_2021-05-17_09h33.24.743","child"
"9",7,"female","2021-05-17_09h33.24.743",5.891,11.692,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png",NA,"left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"10",7,"female","2021-05-17_09h33.24.743",7.278,7.358,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png",NA,"left","right","right","left","complex labeling",7,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"11",7,"female","2021-05-17_09h33.24.743",6.838,8.557,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png",NA,"right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-05-17_09h33.24.743","child"
"16",6,"female","2021-06-16_17h00.51.499",13.29,24.05,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","left","right","complex labeling",1,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"17",6,"female","2021-06-16_17h00.51.499",6.209,8.556,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","left","right","complex labeling",2,0,0,0,"complex labeling_2021-06-16_17h00.51.499","child"
"18",6,"female","2021-06-16_17h00.51.499",6.776,6.409,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"19",6,"female","2021-06-16_17h00.51.499",5.925,5.627,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","left","right","complex labeling",4,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"20",6,"female","2021-06-16_17h00.51.499",7.356,6.593,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","left","right","complex labeling",5,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"21",6,"female","2021-06-16_17h00.51.499",6.676,10.32,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","right","left","complex labeling",6,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"22",6,"female","2021-06-16_17h00.51.499",7.705,6.058,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","left","right","complex labeling",7,0,0,0,"complex labeling_2021-06-16_17h00.51.499","child"
"23",6,"female","2021-06-16_17h00.51.499",6.793,6.398,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","left","right","complex labeling",8,1,1,1,"complex labeling_2021-06-16_17h00.51.499","child"
"28",6,"male","2021-07-12_09h41.53.522",9.535,9.083,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-07-12_09h41.53.522","child"
"29",6,"male","2021-07-12_09h41.53.522",9.936,7.594,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","right","left","complex labeling",2,1,1,1,"complex labeling_2021-07-12_09h41.53.522","child"
"30",6,"male","2021-07-12_09h41.53.522",8.597,5.352,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","left","right","complex labeling",3,0,0,0,"complex labeling_2021-07-12_09h41.53.522","child"
"31",6,"male","2021-07-12_09h41.53.522",9.637,5.185,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","right","left","complex labeling",4,0,0,0,"complex labeling_2021-07-12_09h41.53.522","child"
"32",6,"male","2021-07-12_09h41.53.522",6.825,4.732,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","right","left","complex labeling",5,1,1,1,"complex labeling_2021-07-12_09h41.53.522","child"
"33",6,"male","2021-07-12_09h41.53.522",8.866,6.271,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-07-12_09h41.53.522","child"
"34",6,"male","2021-07-12_09h41.53.522",8.748,5.35,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","right","left","complex labeling",7,0,0,0,"complex labeling_2021-07-12_09h41.53.522","child"
"35",6,"male","2021-07-12_09h41.53.522",6.123,6.906,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","left","right","complex labeling",8,1,1,1,"complex labeling_2021-07-12_09h41.53.522","child"
"40",6,"female","2021-07-19_16h46.41.392",13.2062,8.7437,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"41",6,"female","2021-07-19_16h46.41.392",4.3661,4.9938,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"42",6,"female","2021-07-19_16h46.41.392",5.2064,6.5431,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","left","right","complex labeling",3,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"43",6,"female","2021-07-19_16h46.41.392",5.0815,5.2452,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","left","right","complex labeling",4,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"44",6,"female","2021-07-19_16h46.41.392",12.1,7.1107,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","zoom","left","right","left","right","complex labeling",5,0,0,0,"complex labeling_2021-07-19_16h46.41.392","child"
"45",6,"female","2021-07-19_16h46.41.392",4.9394,3.6183,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","zoom","left","right","right","left","complex labeling",6,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"46",6,"female","2021-07-19_16h46.41.392",4.1633,4.9059,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","zoom","right","left","left","right","complex labeling",7,0,0,0,"complex labeling_2021-07-19_16h46.41.392","child"
"47",6,"female","2021-07-19_16h46.41.392",3.4924,4.1717,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","zoom","right","left","right","left","complex labeling",8,1,1,1,"complex labeling_2021-07-19_16h46.41.392","child"
"52",5,"female","2021-09-24_11h09.34.038",10.1365,13.9889,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",1,0,0,0,"complex labeling_2021-09-24_11h09.34.038","child"
"53",5,"female","2021-09-24_11h09.34.038",6.2802,10.3566,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","right","complex labeling",2,1,0,0,"complex labeling_2021-09-24_11h09.34.038","child"
"54",5,"female","2021-09-24_11h09.34.038",7.3764,11.6123,"media/Naming/RechtsSchmiSchmu/Standbild1.png","media/Naming/RechtsSchmiSchmu/Standbild2.png","blossin","right","left","right","left","complex labeling",3,0,0,0,"complex labeling_2021-09-24_11h09.34.038","child"
"55",5,"female","2021-09-24_11h09.34.038",6.654,19.3332,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",4,1,1,1,"complex labeling_2021-09-24_11h09.34.038","child"
"56",5,"female","2021-09-24_11h09.34.038",6.2686,14.4333,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","left","right","complex labeling",5,1,1,1,"complex labeling_2021-09-24_11h09.34.038","child"
"57",5,"female","2021-09-24_11h09.34.038",13.5946,7.9699,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",6,1,1,1,"complex labeling_2021-09-24_11h09.34.038","child"
"58",5,"female","2021-09-24_11h09.34.038",5.953,9.2722,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","right","left","complex labeling",7,0,0,0,"complex labeling_2021-09-24_11h09.34.038","child"
"59",5,"female","2021-09-24_11h09.34.038",5.72,15.3814,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",8,0,0,0,"complex labeling_2021-09-24_11h09.34.038","child"
"64",6,"female","2021-09-24_13h34.54.198",34.579,11.8573,"media/Naming/LinksSchmiSchmu/Standbild1.png","media/Naming/LinksSchmiSchmu/Standbild2.png","blossin","left","right","left","right","complex labeling",1,1,1,1,"complex labeling_2021-09-24_13h34.54.198","child"
"65",6,"female","2021-09-24_13h34.54.198",6.1956,11.4318,"media/Naming/RechtsSchmuSchmi/Standbild1.png","media/Naming/RechtsSchmuSchmi/Standbild2.png","blossin","right","left","left","right","complex labeling",2,1,1,1,"complex labeling_2021-09-24_13h34.54.198","child"
"66",6,"female","2021-09-24_13h34.54.198",6.3852,5.7058,"media/Naming/LinksSchmuSchmi/Standbild1.png","media/Naming/LinksSchmuSchmi/Standbild2.png","blossin","left","right","right","left","complex labeling",3,1,1,1,"complex labeling_2021-09-24_13h34.54.198","child"
